Translation #,Category,Wireframe Ref,KMCO Internal Category Name,KMCO Internal Field Code,Field Name,Original KMCO US English Copy,FOX Copy Edit - US English,Australia / ME English (FX),English Description,Russian,German,Turkish,Italian,Bulgarian,Serbian,Slovenian,Japanese,Chinese (Traditional),UK / Philippines (FOX),ME Arabic,Polish,Netherlands,Spanish (ES),Brazil,South East Asia - English (FOX Movies Premium)
AT905,iOS,,Translations Strings,,WaitDownload,Waiting.  In the download queue,,,,,,,,,,,,,,,,,,,
AT906,iOS,,Translations Strings,,InstalledDownload,Installed,,,,,,,,,,,,,,,,,,,
AT907,iOS,,Translations Strings,,NoChannels,There are no channels available,,,,,,,,,,,,,,,,,,,
AT908,iOS,,Translations Strings,,NoConnection,"There was a problem loading the channels, please try again",,,,,,,,,,,,,,,,,,,
AT909,iOS,,Translations Strings,,NoConnection,requires an internet connection on first start up to load assets.  Connect to the network in order to see hundreds of new parts available,,,,,,,,,,,,,,,,,,,
AT911,iOS,,Translations Strings,,PhotosTitle,Photos,Photos,Photos,Photos,Фотографии,Fotos,Fotoğraflar,Foto,Снимки,Fotografije,,写真,照片,Photos,الصور,Zdjęcia,Foto's ,Fotos,Fotos,Photos
AT912,iOS,,Translations Strings,,CloseButton,Close,Close,Close,Close,Закрыть,Schließen,Kapat,Chiudi,Затваряне,Zatvori,,閉じる,關閉,Close,إغلاق,Zamknij,Sluiten,Cerrar,Fechar,Close
AT913,iOS,,Translations Strings,,GalleryHeaderTitle,Join the fun! Tap here to take a picture and start creating.,Join the fun! Tap here to make a picture.,,Join the fun! Tape here to make a picture.,,Mach mit! Klicke hier um ein Foto aufzunehmen.,Eğlenceye katıl! Fotoğraf oluşturmak için buraya tıkla!,Gioca con noi! Tocca qui per creare una foto.,,,,,,Join the fun! Tap here to make a picture.,إنضم إلى المتعة! انقر هنا لتصنيع صورتك,Dołącz do nas! Naciśnij i rób zdjęcie,Get infected! Klik hier om een foto te maken.,Únete a la diversión! Toca aquí para sacar una foto,Junte-se à diversão! Toque aqui para tirar uma foto.,Join the fun! Tap here to make a picture.
AT914,iOS,,Translations Strings,,LoadMoreButton,Show More,Show More,Show More,Show More,Показать еще,Mehr anzeigen,Daha Fazla Göster,Mostra altre,Покажи още,Prikaži više,,もっと見る,"顯示更多
",Show More,إظهار المزيد,"Pokaż więcej
",Laat meer zien,Mostrar más,Mostrar mais,Show More
AT915,iOS,,Translations Strings,,SaveScreenTitle,Share & Save,Share,Share,Share your photo,Поделиться,Teilen,Paylaş,Condividi,Сподели,Podeli,,シェア,分享,Share,مشاركة,Udostępnij,Delen,Compartir,Compartilhar,Share
AT916,iOS,,Translations Strings,,NoPhotos,No photos have been uploaded to the gallery,,,,,,,,,,,,,,,,,,,
AT917,iOS,,Translations Strings,,NoPhotos,No photos have been uploaded to the gallery,,,,,,,,,,,,,,,,,,,
AT918,iOS,,Translations Strings,,GetPhotosFailed,Failed to fetch photos.  Try again,,,,,,,,,,,,,,,,,,,
AT919,iOS,,Translations Strings,,TryAgain,"Error, try again",Please try again ,Please try again ,Please try again,"пожалуйста, попробуйте снова",Bitte versuche es erneut,Lütfen tekrar dene,Per favore riprova ,"моля, опитайте отново",Molimo vas pokušajte ponovo,"Prosim, poskusite znova.",もう一度やり直してください,請再試一次,Please try again , من فضلك حاول مجدداً,Spróbuj jeszcze raz,Probeer alsjeblieft opnieuw.,Por favor prueba de nuevo,"Por favor, tente de novo",Please try again 
AT920,iOS,,Translations Strings,,TakePictureInstruction,"For best results, match your face to the guide"," For best results, match your face to the guide"," For best results, match your face to the guide","For the best results, match your face to the guide",Для лучшего результата выберите похожее лицо из гида,Passe dein Gesicht in den Rahmen ein um ein gutes Ergebnis zu erhalten. ,En iyi sonuç için yüzünü bu örneğe yerleştir,Allinea il tuo viso con la guida,За най-добри резултати коригирай лицето в указаните параметри,"Za najbolji rezultat, prilagodi lice u skladu sa uputstvima.","Med pošiljanjem povabila prijatelju je prišlo do napake. Prosim, poskusi znova.",コツは指示どおりにあなたの顔と一致させる,為取得最佳效果，依照指示對正你的臉," For best results, match your face to the guide",للحصول على أفضل النتائج، اضبط وجهك وفقاً للدليل,"Dla najlepszych wyników, dopasuj twarz zgodnie ze wskazówkami",Zet je gezicht gelijk met de lijnen voor de beste resultaten.," Para obtener mejores resultados, elije una cara de la guía","Para um melhor resultado, ajuste seu rosto com o guia"," For best results, match your face to the guide"
AT921,iOS,,Translations Strings,,SaveScreenInstruction,Share via:,Share via:,,Share via:,,Teile über:,Ile paylaş:,Condividi tramite:,,,,,,Share via:,,Udostępnij przez:,Deel via:,Comparte vía:,Compartilhe via:,
AT922,iOS,,Translations Strings,,SaveScreenUploading,Uploading,Uploading,Uploading,Uploading,Загрузка,Uploading,Yükleniyor,Caricamento,Качва се,Отпремање,Nalaganje,アップロード中,正在上傳,Uploading,تحميل,Przesyłanie,Uploaden,Subiendo,Subindo,Uploading
AT923,iOS,,Translations Strings,,SaveScreenSharing,Sharing,Sharing,Sharing,Sharing,Сети,Sharing,Paylaşım,Condivisione,Споделяне,Дељење,,共有,共享,Sharing,تقاسم,Udostępnianie,Delen,Compartiendo,Compartilhando,
AT924,iOS,,Translations Strings,,SaveScreenError,"Error, try again",Please try again ,Please try again ,Please try again,"пожалуйста, попробуйте снова",Bitte versuche es erneut,Lütfen tekrar dene,Per favore riprova ,"моля, опитайте отново",Molimo vas pokušajte ponovo,"Prosim, poskusite znova.",もう一度やり直してください,請再試一次,Please try again , من فضلك حاول مجدداً,Spróbuj jeszcze raz,Probeer alsjeblieft opnieuw.,Por favor prueba de nuevo,"Por favor, tente de novo",Please try again 
AT925,iOS,,nibtranslations strings,,149.normalTitle,Back,Back,Back,Back,Назад,Zurück,Geri,Indietro,Назад,Nazad,,戻る,返回,Back,العودة,Powrót,Terug,Volver,Voltar,Back
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Izbriši,,,,,,,,,
,,,,,,,,,,,,,,,,Svoj obraz naravnaj v skladu z zgornjimi navodili.,,,,,,,,,
,,,,,,,,,,,,,,,,Naloži fotografijo s Facebooka.,,,,,,,,,
AT002,Canvas,6,G/Rails,G,,Click to Start,Click to Start,Click to Start,Click to Start,"Кликни, чтобы начать",Klicken und loslegen!,Başlamak için tıkla,Clicca per iniziare,"Кликни, за да започнеш",Klikni za početak,Nimaš spletne kamere? Naloži fotografijo iz galerije na Facebooku.,クリックしてスタート,點選開始,Click to Start,انقر للبدء,"Kliknij, by rozpocząć",Klik om te starten,Haz click para empezar,Clique para iniciar,Click to Start
AT003,Social Feed Text,n/a,C/CMS,CMS,,I've been bitten by a zombie and joined The Walking Dead using the official Walking Dead Yourself app. Click to see my Walker Photo!,I've been bitten by a zombie and joined The Walking Dead using the official Walking Dead Yourself app. Click to see my Walker Photo!,I've been bitten by a zombie and joined The Walking Dead using the official Walking Dead Yourself app. Click to see my Walker Photo!,I've been bitten by a zombie and joined The Walking Dead using the official Walking Dead Yourself app. Click to see my Walker Photo!,"Меня укусил зомби и я стал ходячим мертвецом с помощью приложения Зомбилук за 3 клика. Кликни, чтобы увидеть мой зомбилук",Ich wurde von einem Zombie gebissen und bin jetzt Teil von The Walking Dead - der offiziellen Walking Dead Yourself App sei dank. Hier klicken und mein Beisser-Foto ansehen! ,Zombi tarafından ısırıldım ve The Walking Dead'in resmi Kendini Zombi Yap uygulamasına katıldım. Zombi fotoğrafımı görmek için tıkla!,Sono stato morso da uno ZOMBIE usando l'App WALKING DEAD YOURSELF e sono diventato un morto vivente. Clicca per diventare uno ZOMBIE anche tu!,"Ухапан/а съм от зомби и се присъединих към Живите мъртви чрез официалното приложение. Кликнете, за да видите моята зомби снимка.","Ujeo me je zombi i pridružio sam se živim mrtvacima pomoću zvanične aplikacije ""Okružite se mrtvima"". Klikni da vidiš moju zombi fotku! ",Predogled,ゾンビに襲われた私は、オフィシャル・アプリの「Walking Dead Yourself!」を使ってウォーキング・デッドの仲間になった。クリックして自分のゾンビ写真を見る。,"使用官方""化身陰屍路""app，我被活屍咬到，成為他們其中一員... 點選就能看到我的活屍照！",I've been bitten by a zombie and joined The Walking Dead using the official Walking Dead Yourself app. Click to see my Walker Photo!,لقد عقرني أحد الأموات السائرون وانضممت إليهم باستخدام تطبيق Walking Dead Yourself الرسمي.          انقر لمشاهدة صوري!,"Ugryzło mnie zombie i dołączyłem/am do The Walking Dead poprzez oficjalną aplikację Przerób się na The Walking Dead. Kliknij, żeby zobaczyć mnie jako zombie! ",Ik ben gebeten door een walker en heb me aangesloten bij The Walking Dead in de officiële Dead Yourself app. Klik om mijn foto te zien!,He sido mordido por un zombie y me he unido a The Walking Dead gracias a Walking Dead Yourself app. ¡Pincha aquí para ver mi Zombie-Foto!,Fui mordido por um zumbi e me juntei a The Walking Dead com o app Walking Dead Yourself. Clique para ver minha foto-zumbi!,I've been bitten by a zombie and joined The Walking Dead using the official Walking Dead Yourself app. Click to see my Walker Photo!
AT004,Social Feed Text,pp.6-7,C/CMS,CMS,,[Name] has been bitten by a zombie and has joined the Walking Dead using Walking Dead Yourself app!,[Name] has been bitten by a zombie and has joined the Walking Dead using Walking Dead Yourself app!,[Name] has been bitten by a zombie and has joined the Walking Dead using Walking Dead Yourself app!,[Name] has been bitten by a zombie and has joined the Walking Dead using Walking Dead Yourself app!,[Name] укусил зомби и он стал ходячим мертвецом с помощью приложения Зомбилук за 3 клика!,[Name] wurde von einem Zombie gebissen und ist jetzt Teil von The Walking Dead - der offiziellen Walking Dead Yourself App sei dank.,[İsim] zombi tarafından ısırıldı ve Kendini Zombi Yap uygulamasıyla The Walking Dead'e katıldı!,[Name] è stato morso da uno zombie ed è diventato un morto vivente usando l’App Walking Dead Yourself!,[Име] е бил/а ухапан/а от зомби и се е присъединил/а към Живите Мъртви с апликацията на Живите Мъртви! ,"(ime na Fejsbuku) je ujeo zombi i pridružio se živim mrtvacima pomoću aplikacije ""Okružite se mrtvima""!",Posnemi še enkrat,ゾンビに襲われた[Name]は、「Walking Dead Yourself!」アプリを使ってウォーキング・デッドの仲間になった！,[Name] 被活屍咬到，成為活屍一員，使用化身陰屍路app！,[Name] has been bitten by a zombie and has joined the Walking Dead using Walking Dead Yourself app!,(الاسم) قد عقره أحد الأموات السائرون وانضم إليهم باستخدام تطبيق Walking Dead Yourself,[Name] został/a pogryziony/a przez zombie i dołączył/a do The Walking Dead poprzez aplikację Przerób się na The Walking Dead!,[Name] is gebeten door een zombie en heeft zich aangesloten bij The Walking Dead door de officiële app te gebruiken!,¡[Name] ha sido mordido por un zombie y se ha unido a The Walking Dead utilizando Walking Dead Yourself app!,[Name] foi mordido por um zumbi e se juntou a The Walking Dead com o app Walking Dead Yourself!,[Name] has been bitten by a zombie and has joined the Walking Dead using Walking Dead Yourself app!
AT005,Social Feed Text,n/a,C/CMS,CMS,,[Twitter Name] has been bitten by a zombie and joined The Walking Dead!,[Twitter Name] has been bitten by a zombie and joined The Walking Dead!,[Twitter Name] has been bitten by a zombie and joined The Walking Dead!,[Twitter Name] has been bitten by a zombie and joined The Walking Dead!,[Twitter Name] укусил зомби и он стал Ходячим мертвецом!,"
[Twitter Name] wurde von einem Zombie gebissen und ist jetzt Teil von The Walking Dead!",[Twitter Kullanıcı Adı] zombi tarafından ısırıldı ve The Walking Dead'e katıldı!,[Twitter Name] è stato morso da uno zombie ed è diventato un morto vivente con Walking Dead Yourself!,(име от Twitter) е бил/а ухапан/а от зомби и се е присъединил/а към Живите мъртви!,(ime na Tviteru) je ujeo zombi i sada je OKRUŽEN MRTVIMA!,Naprej,ゾンビに襲われた[Twitter Name]は、ウォーキング・デッドの仲間になった！,[Twitter Name] 被活屍咬到，成為活屍一員，使用化身陰屍路app！,[Twitter Name] has been bitten by a zombie and joined The Walking Dead!,(الاسم على تويتر) قد عقره أحد الأموات السائرون وانضم إليهم!,[Twitter Name] został/a pogryziony/a przez zombie i dołączył/a do The Walking Dead! ,[Twitter Name] is gebeten door een Walker en heeft zich aangesloten bij The Walking Dead!,¡[Twitter Name] ha sido mordido por un zombie y se ha unido a The Walking Dead!,[Twitter Name] foi mordido por um zumbi e se juntou a The Walking Dead,[Twitter Name] has been bitten by a zombie and joined The Walking Dead!
AT073,Social Feed Text,pp.6-7,C/CMS,CMS,,[Facebook Name] voted for your The Walking Dead Yourself Facebook app photo!,[Facebook Name] voted for your The Walking Dead Yourself Facebook app photo!,[Facebook Name] voted for your The Walking Dead Yourself Facebook app photo!,[Facebook Name] voted for your The Walking Dead Yourself Facebook app photo!,[Facebook Name] проголосовал за твой зомбилук в приложении Зомбилук за 3 клика,"
[Facebook Name] hat für dein Foto in der Walking Dead Yourself App abgestimmt!",[Facebook Adı] senin Kendini Zombi Yap uygulamasındaki fotoğrafını oyladı!,[Facebook Name] ha votato per la tua foto dall’App Facebook Walking Dead Yourself!,(име от Facebook) гласува за вашата снимка от приложението Стани един от Живите мъртви!,"(vaše ime na Fejsbuku) je glasao za vašu fotku sa ""Okružite se mrtvima"" Fejsbuk aplikacije!  ",,[Facebook Name]は、ウォーキング・デッドのFacebook・アプリにあるあなたの写真に投票した！,[Facebook Name] 投票給你的化身陰屍路活屍照！,[Facebook Name] voted for your The Walking Dead Yourself Facebook app photo!,(الاسم على فيسبوك) صوت لصالح صورتك في تطبيق Walking Dead Yourself على فيسبوك!,[Facebook Name] zagłosował/a na Twoje zdjęcie w aplikacji Przerób się na The Walking Dead!,[Facebook Name] heeft op jouw Dead Yourself-foto gestemd!,¡[Facebook Name] ha votado por tu foto de The Walking Dead Yourself app!,[Facebook Name] votou na sua foto no app The Walking Dead Yourself!,[Facebook Name] voted for your The Walking Dead Yourself Facebook app photo!
AT082,Social Feed Text,n/a,C/CMS,CMS,,[Facebook Name] [and x others] voted for your The Walking Dead Yourself app photo!,[Facebook Name] [and x others] voted for your The Walking Dead Yourself app photo!,[Facebook Name] [and x others] voted for your The Walking Dead Yourself app photo!,[Facebook Name] [and x others] voted for your The Walking Dead Yourself app photo!,[Facebook Name] [и х других] проголосовали за твой зомбилук в приложении Зомбилук за 3 клика,"
[Facebook Name] und [X weitere] haben für dein Foto in der Walking Dead Yourself App abgestimmt!",[Facebook Name] [and x others] senin Kendini Zombi Yap uygulamasındaki fotoğrafını oyladı!,[Facebook Name] [and x others] hanno votato per la tua foto dall’App Walking Dead Yourself!,(име от Facebook) (и х други) гласуваха за вашата снимка от приложението Стани един от Живите мъртви!,"(ime saFejsbuka) (i x drugih) glasali su za tvoju fotku iz aplikacije ""Okružite se mrtvima""! ",Pridružil si se Živim mrtvecem. S pomočjo orodij uredi svojo fotografijo.,[Facebook Name] [and x others]は、ウォーキング・デッドの「Walking Dead Yourself!」アプリにあるあなたの写真に投票した！,[Facebook Name] [and x others] 投票給你的化身陰屍路活屍照！,[Facebook Name] [and x others] voted for your The Walking Dead Yourself app photo!,(الاسم على فيسبوك) (وأسماء غيرهم) صوتوا لصالح صورتك في تطبيق Walking Dead Yourself,[Facebook Name] [and x others] zagłosowali na Twoje zdjęcie w aplikacji Przerób się The Walking Dead!,[Facebook Name] [and x others] hebben op jouw Dead Yourself-foto gestemd!,[Facebook Name] [and x others] han votado por tu foto de The Walking Dead Yourself app!,[Facebook Name] [and x others] votaram na sua foto no app The Walking Dead Yourself!,[Facebook Name] [and x others] voted for your The Walking Dead Yourself app photo!
